State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
TX,,HB6,,Relating to the foundation curriculum; the establishment of the instructional materials allotment; and the adoption; review; and purchase of instructional materials and technological equipment for public schools.,1 hr. notice-to suspend rules,5/29/2011,Jimmie Aycock; Daniel Branch; Florence Shapiro; J.D. Sheffield; Michael Villarreal; Alma Allen; Rob Eissler; Mark Strama; Harold Dutton; Ryan Guillen; Dan Huberty; John Otto; Ralph Sheffield; Mark Shelton,122,4,https://www.billtrack50.com/BillDetail/124719,billtrack50
ME,,LD569,,An Act To Support and Encourage the Use of Online Textbooks,(S) Under suspension of the Rules PASSED TO BE ENACTED in concurrence,6/6/2011,Justin Alfond; Devin Beliveau; Seth Berry; Seth Goodall; Robert Hunt; Troy Jackson; Garrett Mason; Jeff McCabe,18,1,https://www.billtrack50.com/BillDetail/44633,billtrack50
TX,,HB6,,Relating to the foundation curriculum; the establishment of the instructional materials allotment; the adoption; review; and purchase of instructional materials and technological equipment for public schools; and the administration of state assessment instruments to public school students.,Committee report sent to Calendars,6/8/2011,Rob Eissler,13,2,https://www.billtrack50.com/BillDetail/106031,billtrack50
TX,,SR107,,Suspending limitations on conference committee jurisdiction; S.B. No. 6.,Reported enrolled,6/27/2011,Florence Shapiro,4,0,https://www.billtrack50.com/BillDetail/106277,billtrack50
TX,,HR198,,Suspending limitations on conference committee jurisdiction; S.B. No. 6.,Reported enrolled,6/28/2011,Rob Eissler,7,0,https://www.billtrack50.com/BillDetail/106254,billtrack50
OR,,HB2963,,Relating to higher education textbooks; declaring an emergency.,In committee upon adjournment.,6/30/2011,Jeff Barker; Michael Dembrow; Margaret Doherty; Sara Gelser; Mitch Greenlick; Chris Harker; Paul Holvey,7,1,https://www.billtrack50.com/BillDetail/89944,billtrack50
MA,,H3401,,Making appropriations for the fiscal year 2012 for the maintenance of the departments; boards; commissions; institutions and certain activities of the Commonwealth; for interest; sinking fund and serial bond requirements and for certain permanent improvements,Reported; on the residue; in part; by H3565 ,7/1/2011,Brian Dempsey,17,2,https://www.billtrack50.com/BillDetail/41614,billtrack50
NY,,A01163,,Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs.,enacting clause stricken,7/11/2011,Alec Brook-Krasny; Kevin Cahill; Micah Kellner; Vito Lopez; Crystal Peoples-Stokes; Mike Spano,2,3,https://www.billtrack50.com/BillDetail/72756,billtrack50
TX,,SB6,,Relating to the foundation curriculum; the establishment of the instructional materials allotment; and the adoption; review; and purchase of instructional materials and technological equipment for public schools; providing penalties.,See remarks for effective date,7/19/2011,Daniel Branch; Rob Eissler; Scott Hochberg; Florence Shapiro,85,5,https://www.billtrack50.com/BillDetail/105918,billtrack50
NH,,HB418,,Relative to the use of open source software and open data formats by state agencies and relative to the adoption of a statewide information policy regarding open government data standards.,Senate Work Session on Re-referred Bill: 9/8/11; Room 100; State House; 10:00 a.m.; Senate Calendar 36 ,9/1/2011,Seth Cohn; Sean Cox; Joshua Davenport; George Lambert; Bruce MacMahon; Calvin Pratt,16,4,https://www.billtrack50.com/BillDetail/61201,billtrack50
CA,,AB1023,,Maintenance of the codes.,Chaptered by Secretary of State - Chapter 296; Statutes of 2011.,9/21/2011,Donald Wagner,24,5,https://www.billtrack50.com/BillDetail/8472,billtrack50
